
Deployment Image Servicing and Management tool
Version: 10.0.15063.0

Image Version: 10.0.15063.0

Features listing for package : Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~10.0.15063.0


------------------------------------------- | --------
Feature Name                                | State   
------------------------------------------- | --------
Microsoft-Windows-HyperV-Guest-Package      | Disabled
LegacyComponents                            | Disabled
DirectPlay                                  | Disabled
SimpleTCP                                   | Disabled
SNMP                                        | Disabled
WMISnmpProvider                             | Disabled
MicrosoftWindowsPowerShellV2Root            | Disabled
MicrosoftWindowsPowerShellV2                | Disabled
Windows-Identity-Foundation                 | Disabled
Microsoft-Windows-Subsystem-Linux           | Disabled
NetFx3                                      | Enabled 
IIS-WebServerRole                           | Enabled 
IIS-WebServer                               | Enabled 
IIS-CommonHttpFeatures                      | Enabled 
IIS-HttpErrors                              | Enabled 
IIS-HttpRedirect                            | Disabled
IIS-ApplicationDevelopment                  | Enabled 
IIS-NetFxExtensibility                      | Disabled
IIS-NetFxExtensibility45                    | Disabled
IIS-HealthAndDiagnostics                    | Enabled 
IIS-HttpLogging                             | Enabled 
IIS-LoggingLibraries                        | Disabled
IIS-RequestMonitor                          | Disabled
IIS-HttpTracing                             | Disabled
IIS-Security                                | Enabled 
IIS-URLAuthorization                        | Disabled
IIS-RequestFiltering                        | Enabled 
IIS-IPSecurity                              | Disabled
IIS-Performance                             | Enabled 
IIS-HttpCompressionDynamic                  | Disabled
IIS-WebServerManagementTools                | Enabled 
IIS-ManagementScriptingTools                | Disabled
IIS-IIS6ManagementCompatibility             | Disabled
IIS-Metabase                                | Disabled
WAS-WindowsActivationService                | Disabled
WAS-ProcessModel                            | Disabled
WAS-NetFxEnvironment                        | Disabled
WAS-ConfigurationAPI                        | Disabled
IIS-HostableWebCore                         | Disabled
WCF-HTTP-Activation                         | Disabled
WCF-NonHTTP-Activation                      | Disabled
WCF-Services45                              | Enabled 
WCF-HTTP-Activation45                       | Disabled
WCF-TCP-Activation45                        | Disabled
WCF-Pipe-Activation45                       | Disabled
WCF-MSMQ-Activation45                       | Disabled
WCF-TCP-PortSharing45                       | Enabled 
IIS-CertProvider                            | Disabled
IIS-WindowsAuthentication                   | Disabled
IIS-DigestAuthentication                    | Disabled
IIS-ClientCertificateMappingAuthentication  | Disabled
IIS-IISCertificateMappingAuthentication     | Disabled
IIS-ODBCLogging                             | Disabled
IIS-StaticContent                           | Enabled 
IIS-DefaultDocument                         | Enabled 
IIS-DirectoryBrowsing                       | Enabled 
IIS-WebDAV                                  | Disabled
IIS-WebSockets                              | Disabled
IIS-ApplicationInit                         | Disabled
IIS-ASPNET                                  | Disabled
IIS-ASPNET45                                | Disabled
IIS-ASP                                     | Disabled
IIS-CGI                                     | Enabled 
IIS-ISAPIExtensions                         | Disabled
IIS-ISAPIFilter                             | Disabled
IIS-ServerSideIncludes                      | Disabled
IIS-CustomLogging                           | Disabled
IIS-BasicAuthentication                     | Disabled
IIS-HttpCompressionStatic                   | Enabled 
IIS-ManagementConsole                       | Enabled 
IIS-ManagementService                       | Disabled
IIS-WMICompatibility                        | Disabled
IIS-LegacyScripts                           | Disabled
IIS-LegacySnapIn                            | Disabled
IIS-FTPServer                               | Disabled
IIS-FTPSvc                                  | Disabled
IIS-FTPExtensibility                        | Disabled
MSMQ-Container                              | Disabled
MSMQ-Server                                 | Disabled
MSMQ-Triggers                               | Disabled
MSMQ-ADIntegration                          | Disabled
MSMQ-HTTP                                   | Disabled
MSMQ-Multicast                              | Disabled
MSMQ-DCOMProxy                              | Disabled
NetFx4-AdvSrvs                              | Enabled 
NetFx4Extended-ASPNET45                     | Disabled
MediaPlayback                               | Enabled 
WindowsMediaPlayer                          | Enabled 
Printing-PrintToPDFServices-Features        | Enabled 
Printing-XPSServices-Features               | Enabled 
RasRip                                      | Disabled
MSRDC-Infrastructure                        | Enabled 
SearchEngine-Client-Package                 | Enabled 
TelnetClient                                | Disabled
TFTP                                        | Disabled
Xps-Foundation-Xps-Viewer                   | Enabled 
WorkFolders-Client                          | Enabled 
SMB1Protocol                                | Enabled 
Microsoft-Hyper-V-All                       | Disabled
Microsoft-Hyper-V-Tools-All                 | Disabled
Microsoft-Hyper-V-Management-Clients        | Disabled
Microsoft-Hyper-V-Management-PowerShell     | Disabled
Microsoft-Hyper-V                           | Disabled
Microsoft-Hyper-V-Hypervisor                | Disabled
Microsoft-Hyper-V-Services                  | Disabled
Printing-Foundation-Features                | Enabled 
Printing-Foundation-LPRPortMonitor          | Disabled
Printing-Foundation-LPDPrintService         | Disabled
Printing-Foundation-InternetPrinting-Client | Enabled 
FaxServicesClientPackage                    | Disabled
ScanManagementConsole                       | Disabled
DirectoryServices-ADAM-Client               | Disabled
ServicesForNFS-ClientOnly                   | Disabled
ClientForNFS-Infrastructure                 | Disabled
NFS-Administration                          | Disabled
RasCMAK                                     | Disabled
SmbDirect                                   | Disabled
Containers                                  | Disabled
DataCenterBridging                          | Disabled
TIFFIFilter                                 | Disabled
Client-DeviceLockdown                       | Disabled
Client-EmbeddedShellLauncher                | Disabled
Client-EmbeddedBootExp                      | Disabled
Client-EmbeddedLogon                        | Disabled
Client-KeyboardFilter                       | Disabled
Client-UnifiedWriteFilter                   | Disabled
MultiPoint-Connector                        | Disabled
MultiPoint-Connector-Services               | Disabled
MultiPoint-Tools                            | Disabled

The operation completed successfully.
